ID,Image_path,Label_Verdadeiro
1,dataset_split/dataset_split\test\healthy\1000.png,healthy
2,dataset_split/dataset_split\test\healthy\850.png,healthy
3,dataset_split/dataset_split\test\healthy\851.png,healthy
4,dataset_split/dataset_split\test\healthy\852.png,healthy
5,dataset_split/dataset_split\test\healthy\853.png,healthy
6,dataset_split/dataset_split\test\healthy\854.png,healthy
7,dataset_split/dataset_split\test\healthy\855.png,healthy
8,dataset_split/dataset_split\test\healthy\856.png,healthy
9,dataset_split/dataset_split\test\healthy\857.png,healthy
10,dataset_split/dataset_split\test\healthy\858.png,healthy
11,dataset_split/dataset_split\test\healthy\859.png,healthy
12,dataset_split/dataset_split\test\healthy\860.png,healthy
13,dataset_split/dataset_split\test\healthy\861.png,healthy
14,dataset_split/dataset_split\test\healthy\862.png,healthy
15,dataset_split/dataset_split\test\healthy\863.png,healthy
16,dataset_split/dataset_split\test\healthy\864.png,healthy
17,dataset_split/dataset_split\test\healthy\865.png,healthy
18,dataset_split/dataset_split\test\healthy\866.png,healthy
19,dataset_split/dataset_split\test\healthy\867.png,healthy
20,dataset_split/dataset_split\test\healthy\868.png,healthy
21,dataset_split/dataset_split\test\healthy\869.png,healthy
22,dataset_split/dataset_split\test\healthy\870.png,healthy
23,dataset_split/dataset_split\test\healthy\871.png,healthy
24,dataset_split/dataset_split\test\healthy\872.png,healthy
25,dataset_split/dataset_split\test\healthy\873.png,healthy
26,dataset_split/dataset_split\test\healthy\874.png,healthy
27,dataset_split/dataset_split\test\healthy\875.png,healthy
28,dataset_split/dataset_split\test\healthy\876.png,healthy
29,dataset_split/dataset_split\test\healthy\877.png,healthy
30,dataset_split/dataset_split\test\healthy\878.png,healthy
31,dataset_split/dataset_split\test\healthy\879.png,healthy
32,dataset_split/dataset_split\test\healthy\880.png,healthy
33,dataset_split/dataset_split\test\healthy\881.png,healthy
34,dataset_split/dataset_split\test\healthy\882.png,healthy
35,dataset_split/dataset_split\test\healthy\883.png,healthy
36,dataset_split/dataset_split\test\healthy\884.png,healthy
37,dataset_split/dataset_split\test\healthy\885.png,healthy
38,dataset_split/dataset_split\test\healthy\886.png,healthy
39,dataset_split/dataset_split\test\healthy\887.png,healthy
40,dataset_split/dataset_split\test\healthy\888.png,healthy
41,dataset_split/dataset_split\test\healthy\889.png,healthy
42,dataset_split/dataset_split\test\healthy\890.png,healthy
43,dataset_split/dataset_split\test\healthy\891.png,healthy
44,dataset_split/dataset_split\test\healthy\892.png,healthy
45,dataset_split/dataset_split\test\healthy\893.png,healthy
46,dataset_split/dataset_split\test\healthy\894.png,healthy
47,dataset_split/dataset_split\test\healthy\895.png,healthy
48,dataset_split/dataset_split\test\healthy\896.png,healthy
49,dataset_split/dataset_split\test\healthy\897.png,healthy
50,dataset_split/dataset_split\test\healthy\898.png,healthy
51,dataset_split/dataset_split\test\healthy\899.png,healthy
52,dataset_split/dataset_split\test\healthy\900.png,healthy
53,dataset_split/dataset_split\test\healthy\901.png,healthy
54,dataset_split/dataset_split\test\healthy\902.png,healthy
55,dataset_split/dataset_split\test\healthy\903.png,healthy
56,dataset_split/dataset_split\test\healthy\904.png,healthy
57,dataset_split/dataset_split\test\healthy\905.png,healthy
58,dataset_split/dataset_split\test\healthy\906.png,healthy
59,dataset_split/dataset_split\test\healthy\907.png,healthy
60,dataset_split/dataset_split\test\healthy\908.png,healthy
61,dataset_split/dataset_split\test\healthy\909.png,healthy
62,dataset_split/dataset_split\test\healthy\910.png,healthy
63,dataset_split/dataset_split\test\healthy\911.png,healthy
64,dataset_split/dataset_split\test\healthy\912.png,healthy
65,dataset_split/dataset_split\test\healthy\913.png,healthy
66,dataset_split/dataset_split\test\healthy\914.png,healthy
67,dataset_split/dataset_split\test\healthy\915.png,healthy
68,dataset_split/dataset_split\test\healthy\916.png,healthy
69,dataset_split/dataset_split\test\healthy\917.png,healthy
70,dataset_split/dataset_split\test\healthy\918.png,healthy
71,dataset_split/dataset_split\test\healthy\919.png,healthy
72,dataset_split/dataset_split\test\healthy\920.png,healthy
73,dataset_split/dataset_split\test\healthy\921.png,healthy
74,dataset_split/dataset_split\test\healthy\922.png,healthy
75,dataset_split/dataset_split\test\healthy\923.png,healthy
76,dataset_split/dataset_split\test\healthy\924.png,healthy
77,dataset_split/dataset_split\test\healthy\925.png,healthy
78,dataset_split/dataset_split\test\healthy\926.png,healthy
79,dataset_split/dataset_split\test\healthy\927.png,healthy
80,dataset_split/dataset_split\test\healthy\928.png,healthy
81,dataset_split/dataset_split\test\healthy\929.png,healthy
82,dataset_split/dataset_split\test\healthy\930.png,healthy
83,dataset_split/dataset_split\test\healthy\931.png,healthy
84,dataset_split/dataset_split\test\healthy\932.png,healthy
85,dataset_split/dataset_split\test\healthy\933.png,healthy
86,dataset_split/dataset_split\test\healthy\934.png,healthy
87,dataset_split/dataset_split\test\healthy\935.png,healthy
88,dataset_split/dataset_split\test\healthy\936.png,healthy
89,dataset_split/dataset_split\test\healthy\937.png,healthy
90,dataset_split/dataset_split\test\healthy\938.png,healthy
91,dataset_split/dataset_split\test\healthy\939.png,healthy
92,dataset_split/dataset_split\test\healthy\940.png,healthy
93,dataset_split/dataset_split\test\healthy\941.png,healthy
94,dataset_split/dataset_split\test\healthy\942.png,healthy
95,dataset_split/dataset_split\test\healthy\943.png,healthy
96,dataset_split/dataset_split\test\healthy\944.png,healthy
97,dataset_split/dataset_split\test\healthy\945.png,healthy
98,dataset_split/dataset_split\test\healthy\946.png,healthy
99,dataset_split/dataset_split\test\healthy\947.png,healthy
100,dataset_split/dataset_split\test\healthy\948.png,healthy
101,dataset_split/dataset_split\test\healthy\949.png,healthy
102,dataset_split/dataset_split\test\healthy\950.png,healthy
103,dataset_split/dataset_split\test\healthy\951.png,healthy
104,dataset_split/dataset_split\test\healthy\952.png,healthy
105,dataset_split/dataset_split\test\healthy\953.png,healthy
106,dataset_split/dataset_split\test\healthy\954.png,healthy
107,dataset_split/dataset_split\test\healthy\955.png,healthy
108,dataset_split/dataset_split\test\healthy\956.png,healthy
109,dataset_split/dataset_split\test\healthy\957.png,healthy
110,dataset_split/dataset_split\test\healthy\958.png,healthy
111,dataset_split/dataset_split\test\healthy\959.png,healthy
112,dataset_split/dataset_split\test\healthy\960.png,healthy
113,dataset_split/dataset_split\test\healthy\961.png,healthy
114,dataset_split/dataset_split\test\healthy\962.png,healthy
